date,tournament,team1,team2,picks1,picks2,bans1,bans2,winner
2025-03-15,RPL 2025 Summer - GS,TLN,KOG,"Yena,Bolt Baron,Raz,Violet,Xeniel","Qi,Billow,Liliana,Stuart,Arduin","Maloch,Hayate,Florentino,Dolia","Valhein,Marja,Enzo,TeeMee",KOG
2025-03-14,RPL 2025 Summer - GS,HD,BRU,"Yena,Keera,Krixi,Hayate,Enzo","Omen,Fennik,Rouie,Capheny,Arduin","Stuart,Bolt Baron,TeeMee,Marja","Valhein,Billow,Natalya,Diao Chan",BRU
2025-03-14,RPL 2025 Summer - GS,HD,BRU,"Ryoma,Marja,Raz,Stuart,Dolia","Skud,Eland'orr,Maloch,Hayate,Alice","Valhein,Bolt Baron,Qi,Murad","Billow,Enzo,Omen,Aoi",BRU
2025-03-14,RPL 2025 Summer - GS,HD,BRU,"Riktor,Bolt Baron,Ignis,Capheny,TeeMee","Yena,Billow,Liliana,Tel'Annas,Enzo","Maloch,Eland'orr,Raz,Skud","Valhein,Marja,Yue,Qi",BRU
2025-03-09,AOG Spring 2025 GS1,FL,SGP,"Bolt Baron,Yan,Ignis,Hayate,TeeMee","Marja,Enzo,Tulen,Capheny,Ming","Rouie,Stuart,Liliana,Iggy","Raz,Billow,Ryoma,Qi",SGP
2025-03-09,AOG Spring 2025 GS1,FL,SGP,"Skud,Eland'orr,Liliana,Valhein,Dolia","Qi,Billow,Krixi,Fennik,Maloch","Rouie,Stuart,Murad,Alice","Raz,Enzo,Florentino,Roxie",SGP
2025-03-09,AOG Spring 2025 GS1,FL,SGP,"Riktor,Keera,Rouie,Fennik,Baldum","Yena,Nakroth,Raz,Valhein,Zip","Billow,Maloch,Ming,Grakk","TeeMee,Enzo,Toro,Marja",SGP
2025-03-09,AOG Spring 2025 GS1,FL,SGP,"Murad,Wonder Woman,Iggy,Elsu,Arduin","Skud,Aoi,Kahlii,Slimz,TeeMee","Valhein,Marja,Raz,Florentino","Rouie,Enzo,Roxie,Qi",FL
2025-03-09,RPL 2025 Summer - GS,HD,eA,"Florentino,Aoi,Tulen,Elsu,Xeniel","Airi,Fennik,Aleister,Murad,Maloch","Bolt Baron,Valhein,Dolia,Rouie","Marja,Stuart,Roxie,Thane",eA
2025-03-09,RPL 2025 Summer - GS,HD,eA,"Riktor,Keera,Krixi,Hayate,Grakk","Yena,Billow,Liliana,Eland'orr,Alice","Valhein,Bolt Baron,Dolia,Yue","Stuart,Marja,Qi,Omen",HD
2025-03-09,RPL 2025 Summer - GS,HD,eA,"Yena,Eland'orr,Rouie,Capheny,Omega","Skud,Zuka,Raz,Hayate,Krizzix","Bolt Baron,Billow,Kriknak,Murad","Marja,Valhein,Omen,Qi",eA
2025-03-09,RPL 2025 Summer - GS,HD,eA,"Murad,Billow,Raz,Fennik,TeeMee","Mina,Marja,Tulen,Stuart,Enzo","Valhein,Bolt Baron,Omen,Skud","Keera,Maloch,Hayate,Qi",HD
